_id,Gouvernorat,Délégation,Nombre de pharmacies
1,ARIANA,CITE ETTADHAMEN,11
2,ARIANA,COMMUNE ARIANA,37
3,ARIANA,EL MNIHLA,11
4,ARIANA,KALAAT ANDALOUS,4
5,ARIANA,RAOUED,23
6,ARIANA,SIDI THABET,4
7,ARIANA,SOUKRA,23
8,BEJA,AMDOUN,1
9,BEJA,BEJA NORD,10
10,BEJA,BEJA SUD,6
11,BEJA,GOUBELLAT,1
12,BEJA,MEJEZ EL BAB,6
13,BEJA,NEFZA,4
14,BEJA,TEBOURSOUK,2
15,BEJA,TESTOUR,4
16,BEJA,THIBAR,1
17,BEN AROUS,BEN AROUS,10
18,BEN AROUS,BOUMHEL BASSATINE,8
19,BEN AROUS,EL MOUROUJ,24
20,BEN AROUS,EZZAHRA,10
21,BEN AROUS,FOUCHANA,15
22,BEN AROUS,HAMMAM CHATT,5
23,BEN AROUS,HAMMAM LIF,13
24,BEN AROUS,M'HAMDIA,10
25,BEN AROUS,MEDINA JEDIDA,14
26,BEN AROUS,MEGRINE,8
27,BEN AROUS,MORNAG,9
28,BEN AROUS,RADES,20
29,BIZERTE,BIZERTE NORD,24
30,BIZERTE,BIZERTE SUD,5
31,BIZERTE,EL ALIA,5
32,BIZERTE,GHAR EL MELH,3
33,BIZERTE,GHEZALA,2
34,BIZERTE,JARZOUNA,2
35,BIZERTE,JOUMINE,2
36,BIZERTE,MATEUR,8
37,BIZERTE,MENZEL BOURGUIBA,17
38,BIZERTE,MENZEL JEMIL,7
39,BIZERTE,RAS JEBEL,8
40,BIZERTE,SEJNANE,5
41,BIZERTE,TINJA,3
42,BIZERTE,UTIQUE,1
43,GABES,DKHILET TOUJANE,1
44,GABES,EL HAMMA,6
45,GABES,EL HAMMA OUEST,2
46,GABES,GABES MEDINA (EST),20
47,GABES,GABES OUEST,6
48,GABES,GABES SUD,8
49,GABES,GHANNOUCH,4
50,GABES,MARETH,7
51,GABES,MATMATA,1
52,GABES,MATMATA JADIDA,1
53,GABES,MENZEL HABIB,1
54,GABES,METOUIA,2
55,GABES,OUEDHREF,2
56,GAFSA,BEL KHIR,1
57,GAFSA,EL GUETAR,1
58,GAFSA,EL KSAR,2
59,GAFSA,GAFSA NORD,1
60,GAFSA,GAFSA SUD,19
61,GAFSA,M'DHILLA,2
62,GAFSA,METLAOUI,5
63,GAFSA,OUM LARAIES,3
64,GAFSA,REDEYEF,3
65,GAFSA,SENED,3
66,GAFSA,SIDI BOUBAKER,1
67,GAFSA,SIDI YAICH,1
68,GAFSA,ZANOUCH,1
69,JENDOUBA,AIN DRAHEM,2
70,JENDOUBA,BALTA BOUAOUAN,3
71,JENDOUBA,BOUSALEM,6
72,JENDOUBA,FERNANA,3
73,JENDOUBA,GHARDIMAOU,5
74,JENDOUBA,JENDOUBA,13
75,JENDOUBA,JENDOUBA NORD,4
76,JENDOUBA,OUED MELIZ,1
77,JENDOUBA,TABARKA,9
78,KAIROUAN,AIN JLOULA,1
79,KAIROUAN,CHEBIKA,3
80,KAIROUAN,CHERARDA,3
81,KAIROUAN,EL ALA,2
82,KAIROUAN,HAFFOUZ,4
83,KAIROUAN,HAJEB ELAYOUN,2
84,KAIROUAN,KAIROUAN NORD,21
85,KAIROUAN,KAIROUAN SUD,13
86,KAIROUAN,MENZEL MHIRI,1
87,KAIROUAN,OUESLATIA,2
88,KAIROUAN,SBIKHA,5
89,KAIROUAN,SIDI ALI BEN NASRALLAH,2
90,KAIROUAN,SIDI AMOR BOUHAJLA,6
91,KASSERINE,EL AYOUN,1
92,KASSERINE,EZZOUHOUR,3
93,KASSERINE,FERIANA,5
94,KASSERINE,FOUSSANA,3
95,KASSERINE,HAIDRA,1
96,KASSERINE,HASSI FERID,1
97,KASSERINE,JEDLIANE,1
98,KASSERINE,KASSERINE NORD,14
99,KASSERINE,KASSERINE SUD,1
100,KASSERINE,MAJEL BEL ABBES,2
101,KASSERINE,SBEITLA,7
102,KASSERINE,SBIBA,3
103,KASSERINE,THALA,3
104,KEBILI,DOUZ NORD,3
105,KEBILI,DOUZ SUD,2
106,KEBILI,FAOUAR,2
107,KEBILI,KEBILI NORD,4
108,KEBILI,KEBILI SUD,4
109,KEBILI,RJIM MAATOUG,1
110,KEBILI,SOUK LAHAD,2
111,LE KEF,DAHMANI,3
112,LE KEF,JERISSA,1
113,LE KEF,KALAAT KHASBA,1
114,LE KEF,KALAAT SENANE,2
115,LE KEF,KSOUR,1
116,LE KEF,LE KEF EST,9
117,LE KEF,LE KEF OUEST,3
118,LE KEF,NEBEUR,3
119,LE KEF,SAKIET SIDI YOUSSEF,1
120,LE KEF,SERS,3
121,LE KEF,TAJEROUINE,4
122,LE KEF,TOUIREF,1
123,MAHDIA,BOUMERDAS,3
124,MAHDIA,BRADAA,2
125,MAHDIA,CHEBBA,4
126,MAHDIA,CHORBANE,3
127,MAHDIA,EL JEM,7
128,MAHDIA,HBIRA,1
129,MAHDIA,KSOUR ESSAF,4
130,MAHDIA,MAHDIA,12
131,MAHDIA,MELLOULECHE,2
132,MAHDIA,OULED CHAMEKH,2
133,MAHDIA,REJICHE,2
134,MAHDIA,SIDI ALOUANE,4
135,MAHDIA,SOUASSI,6
136,MANOUBA,BORJ EL AMRI,3
137,MANOUBA,DOUAR HICHER,11
138,MANOUBA,EL BATTAN,2
139,MANOUBA,JEDEIDA,6
140,MANOUBA,MANOUBA,18
141,MANOUBA,MORNAGUIA,6
142,MANOUBA,OUED ELLIL,10
143,MANOUBA,TEBOURBA,7
144,MEDENINE,BEN GUERDANE,14
145,MEDENINE,BENI KHEDACHE,2
146,MEDENINE,HOUMT SOUK,21
147,MEDENINE,JERBA AJIM,2
148,MEDENINE,JERBA MIDOUN,18
149,MEDENINE,MEDENINE NORD,15
